city,date,card_type,exp_type,gender,amount_raw,amount_norm,day_of_week,month,week_number,year,card_type_encoded,gender_encoded,city_encoded,exp_type_encoded
"Chennai, India",2013-10-04,Gold,Grocery,M,27511,0.026583837476130107,4,10,40,2013,0,1,109,4
"Greater Mumbai, India",2013-10-04,Gold,Entertainment,M,201942,0.2015270712646629,4,10,40,2013,0,1,170,1
"Chennai, India",2013-10-04,Gold,Fuel,F,76211,0.07542684981626202,4,10,40,2013,0,0,109,3
"Greater Mumbai, India",2013-10-04,Platinum,Grocery,F,52423,0.05156899401447438,4,10,40,2013,1,0,170,4
"Greater Mumbai, India",2013-10-04,Silver,Entertainment,F,116700,0.11603474974725998,4,10,40,2013,3,0,170,1
"Greater Mumbai, India",2013-10-04,Signature,Food,F,290266,0.2901104433782114,4,10,40,2013,2,0,170,2
"Ahmedabad, India",2013-10-04,Silver,Entertainment,F,240666,0.24036478809955547,4,10,40,2013,3,0,8,1
"Kanpur, India",2013-10-04,Signature,Bills,M,29774,0.02885348299821878,4,10,40,2013,2,1,237,0
"Greater Mumbai, India",2013-10-04,Signature,Fuel,F,218607,0.21824100967633228,4,10,40,2013,2,0,170,3
"Hyderabad, India",2013-10-04,Gold,Food,F,80058,0.07928514691015293,4,10,40,2013,0,0,193,2
"Bengaluru, India",2013-10-04,Platinum,Bills,M,18586,0.017632628335767123,4,10,40,2013,1,1,71,0
"Delhi, India",2013-10-04,Silver,Food,M,210174,0.20978324534236242,4,10,40,2013,3,1,126,2
"Jaipur, India",2013-10-04,Signature,Entertainment,F,289594,0.2894364699841135,4,10,40,2013,2,0,203,1
"Delhi, India",2013-10-04,Silver,Fuel,F,52179,0.051324277484474545,4,10,40,2013,3,0,126,3
"Delhi, India",2013-10-04,Silver,Food,F,122944,0.1222970858674198,4,10,40,2013,3,0,126,2
"Bahadurgarh, India",2013-10-04,Silver,Food,F,91707,0.09096835534444854,4,10,40,2013,3,0,50,2
"Delhi, India",2013-10-04,Platinum,Entertainment,M,237165,0.23685350706869712,4,10,40,2013,1,1,126,1
"Thane, India",2013-10-04,Gold,Entertainment,F,259372,0.2591257201084776,4,10,40,2013,0,0,850,1
"Bengaluru, India",2013-10-04,Silver,Food,M,182817,0.18234590882102794,4,10,40,2013,3,1,71,2
"Ahmedabad, India",2013-10-04,Silver,Entertainment,F,17168,0.016210464239292646,4,10,40,2013,3,0,8,1
"Chennai, India",2013-10-04,Signature,Entertainment,M,102337,0.10162957138501533,4,10,40,2013,2,1,109,1
"Kolkata, India",2013-10-04,Gold,Fuel,F,46039,0.045166246770544156,4,10,40,2013,0,0,267,3
"Lucknow, India",2013-10-05,Gold,Entertainment,M,131148,0.1305251777203652,5,10,40,2013,0,1,300,1
"Pune, India",2013-10-05,Silver,Food,F,38978,0.03808451144952421,5,10,40,2013,3,0,584,2
"Ahmedabad, India",2013-10-05,Signature,Grocery,M,20999,0.0200527143476098,5,10,40,2013,2,1,8,4
"Soron, India",2013-10-05,Gold,Food,F,253631,0.25336786109729287,5,10,40,2013,0,0,802,2
"Bengaluru, India",2013-10-05,Silver,Fuel,F,123820,0.12317565832758316,5,10,40,2013,3,0,71,3
"Ahmedabad, India",2013-10-05,Platinum,Food,F,44134,0.04325565255066836,5,10,40,2013,1,0,8,2
"Ahmedabad, India",2013-10-05,Platinum,Bills,F,612572,0.613362926649229,5,10,40,2013,1,0,8,0
"Jaipur, India",2013-10-05,Signature,Bills,F,92598,0.0918619718535873,5,10,40,2013,2,0,203,0
"Ahmedabad, India",2013-10-05,Signature,Entertainment,M,261523,0.26128303673155,5,10,40,2013,2,1,8,1
"Delhi, India",2013-10-05,Silver,Food,F,22774,0.021832926809698797,5,10,40,2013,3,0,126,2
"Hindupur, India",2013-10-05,Platinum,Entertainment,M,235393,0.2350763034164032,5,10,40,2013,1,1,188,1
"Bengaluru, India",2013-10-05,Silver,Food,F,164024,0.16349772132804852,5,10,40,2013,3,0,71,2
"Jaipur, India",2013-10-05,Silver,Food,M,54159,0.05331009194922734,5,10,40,2013,3,1,203,2
"Surat, India",2013-10-05,Platinum,Bills,F,8478,0.007494945199544266,5,10,40,2013,1,0,821,0
"Bengaluru, India",2013-10-05,Platinum,Food,M,183626,0.18315728452910118,5,10,40,2013,1,1,71,2
"Greater Mumbai, India",2013-10-05,Signature,Fuel,M,130428,0.12980306336954603,5,10,40,2013,2,1,170,3
"Greater Mumbai, India",2013-10-05,Platinum,Bills,F,286662,0.28649585987772197,5,10,40,2013,1,0,170,0
"Hansi, India",2013-10-05,Gold,Grocery,M,79974,0.07920090023589069,5,10,40,2013,0,1,183,4
"Delhi, India",2013-10-05,Silver,Grocery,F,158154,0.15761048349567533,5,10,40,2013,3,0,126,4
"Chennai, India",2013-10-05,Signature,Fuel,F,255850,0.25559337740905375,5,10,40,2013,2,0,109,3
"Ramnagar, India",2013-10-05,Gold,Entertainment,M,167400,0.16688363528411188,5,10,40,2013,0,1,626,1
"Bengaluru, India",2013-10-05,Gold,Entertainment,M,264301,0.26406919460179407,5,10,40,2013,0,1,71,1
"Lingsugur, India",2013-10-05,Platinum,Grocery,F,104254,0.10355220084407143,5,10,40,2013,1,0,296,4
"Lucknow, India",2013-10-05,Signature,Fuel,F,81115,0.08034525089461944,5,10,40,2013,2,0,300,3
"Ahmedabad, India",2013-10-05,Signature,Food,F,147199,0.14662331306064155,5,10,40,2013,2,0,8,2
"Ahmedabad, India",2013-10-05,Silver,Entertainment,F,299794,0.29966642328738546,5,10,40,2013,3,0,8,1
"Jaipur, India",2013-10-05,Silver,Bills,M,217527,0.21715783815010348,5,10,40,2013,3,1,203,0
"Jaipur, India",2013-10-05,Platinum,Bills,M,246855,0.2465719627068055,5,10,40,2013,1,1,203,0
"Merta City, India",2013-10-05,Signature,Grocery,F,160358,0.15982095575846075,5,10,40,2013,2,0,376,4
"Chennai, India",2013-10-05,Gold,Bills,F,32874,0.03196258645313478,5,10,40,2013,0,0,109,0
"Ahmedabad, India",2013-10-05,Signature,Food,M,158711,0.15816911918096185,5,10,40,2013,2,1,8,2
"Pune, India",2013-10-05,Gold,Food,M,236710,0.23639717091644333,5,10,40,2013,0,1,584,2
"Pune, India",2013-10-05,Silver,Grocery,M,254534,0.25427351284561195,5,10,40,2013,3,1,584,4
"Chennai, India",2013-10-05,Silver,Travel,M,279582,0.2793950687613332,5,10,40,2013,3,1,109,5
"Bengaluru, India",2013-10-05,Gold,Grocery,F,171087,0.17058146252226516,5,10,40,2013,0,0,71,4
"Pune, India",2013-10-05,Silver,Grocery,F,22267,0.021324437954330276,5,10,40,2013,3,0,584,4
"Ahmedabad, India",2013-10-05,Signature,Grocery,M,229366,0.2290316045380875,5,10,40,2013,2,1,8,4
"Kanpur, India",2013-10-05,Gold,Bills,F,19658,0.01870777636920904,5,10,40,2013,0,0,237,0
"Surat, India",2013-10-05,Silver,Entertainment,M,81542,0.08077350482211916,5,10,40,2013,3,1,821,1
"Surat, India",2013-10-05,Signature,Grocery,F,121025,0.12037245053516697,5,10,40,2013,2,0,821,4
"Ludhiana, India",2013-10-05,Silver,Food,M,288687,0.288526806489401,5,10,40,2013,3,1,301,2
"Ramdurg, India",2013-10-05,Silver,Grocery,F,296064,0.29592546977550266,5,10,40,2013,3,0,622,4
"Mangrol, India",2013-10-05,Silver,Bills,F,85242,0.08448437023605115,5,10,40,2013,3,0,352,0
"Greater Mumbai, India",2013-10-05,Signature,Fuel,M,122595,0.12194706099459217,5,10,40,2013,2,1,170,3
"Kadapa, India",2013-10-05,Platinum,Entertainment,M,281053,0.2808703884975208,5,10,40,2013,1,1,223,1
"Kanpur, India",2013-10-05,Silver,Travel,F,264641,0.26441019304523644,5,10,40,2013,3,0,237,5
"Greater Mumbai, India",2013-10-05,Silver,Food,F,141946,0.14135488710945648,5,10,40,2013,3,0,170,2
"Bengaluru, India",2013-10-05,Silver,Fuel,F,127320,0.12668593642184314,5,10,40,2013,3,0,71,3
"Jaipur, India",2013-10-06,Signature,Bills,F,63141,0.062318468475696845,6,10,40,2013,2,0,203,0
"Sawai Madhopur, India",2013-10-06,Gold,Bills,F,225186,0.22483932955694272,6,10,40,2013,0,0,719,0
"Jhargram, India",2013-10-06,Silver,Bills,M,285170,0.28499947847296886,6,10,40,2013,3,1,217,0
"Pavagada, India",2013-10-06,Silver,Food,F,33864,0.03295549368551118,6,10,40,2013,3,0,541,2
"Delhi, India",2013-10-06,Signature,Fuel,F,14522,0.013556694000032093,6,10,40,2013,2,0,126,3
"Kharagpur, India",2013-10-06,Gold,Grocery,F,215506,0.21513090328481793,6,10,40,2013,0,0,260,4
"Hyderabad, India",2013-10-06,Silver,Bills,M,130057,0.12943097389155445,6,10,40,2013,3,1,193,0
"Kanpur, India",2013-10-06,Signature,Food,M,271103,0.2708911693438388,6,10,40,2013,2,1,237,2
"Rampur, India",2013-10-06,Platinum,Fuel,M,141559,0.14096675064589115,6,10,40,2013,1,1,628,3
"Kendrapara, India",2013-10-06,Signature,Food,F,33470,0.03256033666575734,6,10,40,2013,2,0,253,2
"Utraula, India",2013-10-06,Signature,Bills,F,142712,0.14212313654380024,6,10,40,2013,2,0,921,0
"Greater Mumbai, India",2013-10-06,Platinum,Bills,M,5557,0.004565367395734711,6,10,40,2013,1,1,170,0
"Kolkata, India",2013-10-06,Silver,Fuel,M,144756,0.14417313895084807,6,10,40,2013,3,1,267,3
"Ahmedabad, India",2013-10-06,Silver,Entertainment,F,1938,0.0009357398462698783,6,10,40,2013,3,0,8,1
"Delhi, India",2013-10-06,Platinum,Bills,M,142390,0.14180019095912832,6,10,40,2013,1,1,126,0
"Bengaluru, India",2013-10-06,Silver,Entertainment,F,153572,0.15301502800198982,6,10,40,2013,3,0,71,1
"Bengaluru, India",2013-10-06,Platinum,Grocery,F,172280,0.17177796588410865,6,10,40,2013,1,0,71,4
"Delhi, India",2013-10-06,Gold,Grocery,F,62430,0.06160538055426289,6,10,40,2013,0,0,126,4
"Ahmedabad, India",2013-10-06,Signature,Food,F,272214,0.27200543190461673,6,10,40,2013,2,0,8,2
"Ahmedabad, India",2013-10-06,Silver,Food,F,34627,0.033720734310059855,6,10,40,2013,3,0,8,2
"Delhi, India",2013-10-06,Platinum,Grocery,F,23276,0.022336400982075514,6,10,40,2013,1,0,126,4
"Bengaluru, India",2013-10-06,Platinum,Food,M,264084,0.2638515573599499,6,10,40,2013,1,1,71,2
"Delhi, India",2013-10-06,Gold,Food,M,189094,0.18864134184893366,6,10,40,2013,0,1,126,2
"Tiruchirappalli, India",2013-10-06,Silver,Fuel,M,156150,0.1556005985525619,6,10,40,2013,3,1,874,3
"Bengaluru, India",2013-10-06,Signature,Fuel,F,149848,0.14928009210969717,6,10,40,2013,2,0,71,3
"Bengaluru, India",2013-10-06,Signature,Bills,F,677654,0.6786360463436943,6,10,40,2013,2,0,71,0
"Surat, India",2013-10-06,Gold,Food,F,175081,0.174587191296115,6,10,40,2013,0,0,821,2
"Ahmedabad, India",2013-10-06,Gold,Food,M,125804,0.1251654845387294,6,10,40,2013,0,1,8,2
"Greater Mumbai, India",2013-10-06,Signature,Entertainment,F,283090,0.28291337034838004,6,10,40,2013,2,0,170,1
"Lucknow, India",2013-10-06,Gold,Entertainment,F,71412,0.07061375708073238,6,10,40,2013,0,0,300,1
"Greater Mumbai, India",2013-10-06,Silver,Fuel,F,66083,0.06526910794807196,6,10,40,2013,3,0,170,3
"Pune, India",2013-10-06,Platinum,Grocery,F,245189,0.24490107033393776,6,10,40,2013,1,0,584,4
"Chennai, India",2013-10-06,Platinum,Food,F,37449,0.03655102139063177,6,10,40,2013,1,0,109,2
"Hyderabad, India",2013-10-06,Gold,Travel,F,83660,0.08289772453744564,6,10,40,2013,0,0,193,5
"Lucknow, India",2013-10-06,Silver,Food,M,212365,0.21198067942936918,6,10,40,2013,3,1,300,2
"Greater Mumbai, India",2013-10-06,Silver,Food,M,280604,0.28042006996485713,6,10,40,2013,3,1,170,2
"Kolkata, India",2013-10-06,Signature,Entertainment,M,105294,0.10459525490636584,6,10,40,2013,2,1,267,1
"Greater Mumbai, India",2013-10-06,Silver,Entertainment,M,223491,0.2231393520227225,6,10,40,2013,3,1,170,1
"Delhi, India",2013-10-06,Signature,Food,F,156519,0.15597068215735674,6,10,40,2013,2,0,126,2
"Pune, India",2013-10-06,Silver,Bills,F,290818,0.2906640643805061,6,10,40,2013,3,0,584,0
"Ahmedabad, India",2013-10-06,Gold,Fuel,M,265492,0.2652636920904408,6,10,40,2013,0,1,8,3
"Pune, India",2013-10-06,Signature,Fuel,F,171445,0.17094051382447806,6,10,40,2013,2,0,584,3
"Pilkhuwa, India",2013-10-06,Signature,Entertainment,M,148833,0.1482621114623618,6,10,40,2013,2,1,563,1
"Bengaluru, India",2013-10-06,Gold,Food,F,41266,0.04037923038657188,6,10,40,2013,0,0,71,2
"Kolkata, India",2013-10-07,Platinum,Bills,F,181470,0.18099495322303705,0,10,41,2013,1,0,267,0
"Tumsar, India",2013-10-07,Gold,Grocery,M,63818,0.06299745655278656,0,10,41,2013,0,1,892,4
"Surat, India",2013-10-07,Silver,Food,M,70282,0.06948043872458559,0,10,41,2013,3,1,821,2
"Jabalpur, India",2013-10-07,Signature,Entertainment,F,174318,0.17382195067156633,0,10,41,2013,2,0,198,1
"Ahmedabad, India",2013-10-07,Platinum,Bills,M,56262,0.055419267615578416,0,10,41,2013,1,1,8,0
"Surat, India",2013-10-07,Platinum,Fuel,M,97550,0.09682851388866602,0,10,41,2013,1,1,821,3
"Kottayam, India",2013-10-07,Platinum,Food,M,210162,0.20977121010318212,0,10,41,2013,1,1,273,2
"Sabalgarh, India",2013-10-07,Signature,Grocery,M,104886,0.10418605677423497,0,10,41,2013,2,1,666,4
"Bengaluru, India",2013-10-07,Gold,Bills,M,47228,0.04635873838599419,0,10,41,2013,0,1,71,0
"Bengaluru, India",2013-10-07,Silver,Fuel,M,39434,0.03854185053837637,0,10,41,2013,3,1,71,3
"Greater Mumbai, India",2013-10-07,Platinum,Fuel,F,126821,0.1261854710592615,0,10,41,2013,1,0,170,3
"Tiruvethipuram, India",2013-10-07,Signature,Grocery,M,275284,0.27508444726158193,0,10,41,2013,2,1,884,4
"Ahmedabad, India",2013-10-07,Platinum,Food,M,25685,0.02475247524752475,0,10,41,2013,1,1,8,2
"Malegaon, India",2013-10-07,Signature,Entertainment,F,288672,0.2885117624404256,0,10,41,2013,2,0,331,1
"Ahmedabad, India",2013-10-07,Platinum,Food,F,130267,0.12964159057721006,0,10,41,2013,1,0,8,2
"Kanpur, India",2013-10-07,Platinum,Grocery,F,222044,0.2216881027648956,0,10,41,2013,1,0,237,4
"Ahmedabad, India",2013-10-07,Platinum,Grocery,F,127358,0.12672404801258083,0,10,41,2013,1,0,8,4
"Bengaluru, India",2013-10-07,Platinum,Fuel,M,200833,0.20041481457708168,0,10,41,2013,1,1,71,3
"Makrana, India",2013-10-07,Signature,Fuel,F,116394,0.11572785114816182,0,10,41,2013,2,0,327,3
"Bengaluru, India",2013-10-07,Silver,Fuel,F,224526,0.2241773914020251,0,10,41,2013,3,0,71,3
"Bengaluru, India",2013-10-07,Gold,Bills,F,53126,0.05227405844312146,0,10,41,2013,0,0,71,0
"Kanpur, India",2013-10-07,Platinum,Food,F,47482,0.04661348428197763,0,10,41,2013,1,0,237,2
"Nashik, India",2013-10-07,Gold,Bills,M,114458,0.11378616589373686,0,10,41,2013,0,1,450,0
"Hyderabad, India",2013-10-07,Gold,Fuel,F,103991,0.10328842851870276,0,10,41,2013,0,0,193,3
"Roorkee, India",2013-10-07,Signature,Fuel,M,113589,0.11291461398976202,0,10,41,2013,2,1,661,3
"Alwar, India",2013-10-07,Signature,Food,F,285142,0.28497139624821477,0,10,41,2013,2,0,19,2
"Delhi, India",2013-10-07,Gold,Grocery,F,100142,0.09942812555161513,0,10,41,2013,0,0,126,4
"Haldwani-cum-Kathgodam, India",2013-10-07,Silver,Food,M,212679,0.2122956015212542,0,10,41,2013,3,1,182,2
"Delhi, India",2013-10-07,Platinum,Bills,F,897079,0.8987054094388369,0,10,41,2013,1,0,126,0
"Jind, India",2013-10-07,Platinum,Food,M,70125,0.06932297767864307,0,10,41,2013,1,1,220,2
"Bengaluru, India",2013-10-07,Silver,Grocery,M,184766,0.18430063225123158,0,10,41,2013,3,1,71,4
"Ahmedabad, India",2013-10-07,Silver,Food,F,85887,0.08513126434199336,0,10,41,2013,3,0,8,2
"Greater Mumbai, India",2013-10-07,Signature,Food,F,136426,0.1358186770865093,0,10,41,2013,2,0,170,2
"Akola, India",2013-10-07,Signature,Grocery,M,161255,0.16072058988718968,0,10,41,2013,2,1,12,4
"Surat, India",2013-10-07,Signature,Fuel,F,130714,0.13008990323667696,0,10,41,2013,2,0,821,3
"Chennai, India",2013-10-07,Gold,Food,M,170470,0.16996265064107705,0,10,41,2013,0,1,109,2
"Bengaluru, India",2013-10-07,Gold,Bills,F,186328,0.18586721921786992,0,10,41,2013,0,0,71,0
"Delhi, India",2013-10-07,Gold,Bills,F,94821,0.09409149991174158,0,10,41,2013,0,0,126,0
"Hyderabad, India",2013-10-07,Platinum,Travel,M,33530,0.032620512861658936,0,10,41,2013,1,1,193,5
"Bengaluru, India",2013-10-07,Gold,Bills,M,152070,0.15150861723125308,0,10,41,2013,0,1,71,0
"Sillod, India",2013-10-07,Silver,Food,M,166868,0.16635007301378435,0,10,41,2013,3,1,772,2
"Pune, India",2013-10-07,Silver,Grocery,F,206730,0.20632913169761058,0,10,41,2013,3,0,584,4
"Tharad, India",2013-10-07,Gold,Bills,M,118136,0.11747496670250493,0,10,41,2013,0,1,854,0
"Delhi, India",2013-10-07,Signature,Grocery,F,241679,0.24138076287369417,0,10,41,2013,2,0,126,4
"Pune, India",2013-10-07,Silver,Entertainment,M,112985,0.11230884028435259,0,10,41,2013,3,1,584,1
"Mhow Cantonment, India",2013-10-07,Signature,Bills,F,124806,0.12416455381356613,0,10,41,2013,2,0,377,0
"Satana, India",2013-10-07,Platinum,Grocery,M,264412,0.26418052056421204,0,10,41,2013,1,1,708,4
"Bengaluru, India",2013-10-07,Signature,Food,F,14506,0.013540647014458333,0,10,41,2013,2,0,71,2
"Greater Mumbai, India",2013-10-07,Platinum,Bills,F,212803,0.21241996565945084,0,10,41,2013,1,0,170,0
"Greater Mumbai, India",2013-10-07,Platinum,Food,M,242693,0.2423977405844312,0,10,41,2013,1,1,170,2
"Kanpur, India",2013-10-08,Gold,Food,F,18621,0.017667731116709724,1,10,41,2013,0,0,237,2
"Bengaluru, India",2013-10-08,Signature,Bills,F,76267,0.07548301426577017,1,10,41,2013,2,0,71,0
"Bengaluru, India",2013-10-08,Gold,Fuel,M,156732,0.1561843076528074,1,10,41,2013,0,1,71,3
"Ahmedabad, India",2013-10-08,Signature,Fuel,F,57789,0.05695075180127413,1,10,41,2013,2,0,8,3
"Jorhat, India",2013-10-08,Gold,Entertainment,F,224801,0.22445319896657412,1,10,41,2013,0,0,222,1
"Delhi, India",2013-10-08,Silver,Bills,F,106902,0.10620797695652871,1,10,41,2013,3,0,126,0
"Ahmedabad, India",2013-10-08,Gold,Food,F,87268,0.08651631978432851,1,10,41,2013,0,0,8,2
"Sailu, India",2013-10-08,Platinum,Fuel,F,273936,0.27373248872699263,1,10,41,2013,1,0,678,3
"Bengaluru, India",2013-10-08,Platinum,Food,M,100379,0.09966582152542645,1,10,41,2013,1,1,71,2
"Bengaluru, India",2013-10-08,Gold,Grocery,F,222744,0.2223901583837476,1,10,41,2013,0,0,71,4
"Bengaluru, India",2013-10-08,Signature,Food,F,99656,0.09894069836481217,1,10,41,2013,2,0,71,2
"Kancheepuram, India",2013-10-08,Gold,Grocery,M,123713,0.12306834411155865,1,10,41,2013,0,1,233,4
"Kendujhar, India",2013-10-08,Silver,Grocery,F,14807,0.013842530930564693,1,10,41,2013,3,0,254,4
"Delhi, India",2013-10-08,Platinum,Bills,F,136828,0.13622185759905,1,10,41,2013,1,0,126,0
"Sathyamangalam, India",2013-10-08,Signature,Fuel,F,79715,0.07894113965691545,1,10,41,2013,2,0,710,3
"Chennai, India",2013-10-08,Platinum,Bills,F,235249,0.23493188054623937,1,10,41,2013,1,0,109,0
"Delhi, India",2013-10-08,Platinum,Fuel,M,293383,0.2932365967552995,1,10,41,2013,1,1,126,3
"Kanpur, India",2013-10-08,Gold,Entertainment,F,220014,0.2196521414702248,1,10,41,2013,0,0,237,1
"Greater Mumbai, India",2013-10-08,Silver,Fuel,F,94545,0.09381468941059422,1,10,41,2013,3,0,170,3
"Ramnagar, India",2013-10-08,Platinum,Bills,M,121303,0.12065126690951104,1,10,41,2013,1,1,626,0
"Sibsagar, India",2013-10-08,Signature,Grocery,F,43741,0.04286149846751288,1,10,41,2013,2,0,760,4
"Talaja, India",2013-10-08,Gold,Fuel,F,33623,0.03271378596530642,1,10,41,2013,0,0,828,3
"Greater Mumbai, India",2013-10-08,Gold,Entertainment,F,188378,0.1879232392445079,1,10,41,2013,0,0,170,1
"Kolkata, India",2013-10-08,Silver,Food,F,43013,0.0421313606239068,1,10,41,2013,3,0,267,2
"Delhi, India",2013-10-08,Platinum,Bills,F,900101,0.9017362838390808,1,10,41,2013,1,0,126,0
"Bengaluru, India",2013-10-08,Signature,Food,F,9478,0.008497881797904264,1,10,41,2013,2,0,71,2
"Ahmedabad, India",2013-10-08,Gold,Fuel,M,60020,0.05918830335221529,1,10,41,2013,0,1,8,3
"Surat, India",2013-10-08,Signature,Bills,F,279967,0.2797811993517018,1,10,41,2013,2,0,821,0
"Raisen, India",2013-10-08,Signature,Grocery,F,78480,0.07770251295794085,1,10,41,2013,2,0,603,4
"Bengaluru, India",2013-10-08,Platinum,Fuel,M,203352,0.2029412118683505,1,10,41,2013,1,1,71,3
"Delhi, India",2013-10-08,Gold,Entertainment,F,28898,0.027974910538055425,1,10,41,2013,0,0,126,1
"Bengaluru, India",2013-10-08,Gold,Bills,M,18782,0.017829203909045684,1,10,41,2013,0,1,71,0
"Ahmedabad, India",2013-10-08,Platinum,Entertainment,M,122753,0.12210552497713305,1,10,41,2013,1,1,8,1
"Pune, India",2013-10-08,Silver,Entertainment,F,221118,0.22075938347481425,1,10,41,2013,3,0,584,1
"Delhi, India",2013-10-08,Platinum,Bills,F,129169,0.1285403661922108,1,10,41,2013,1,0,126,0
"Delhi, India",2013-10-08,Signature,Bills,F,117144,0.11648005359693181,1,10,41,2013,2,0,126,0
"Nellore, India",2013-10-08,Gold,Grocery,F,198455,0.1980298313461816,1,10,41,2013,0,0,468,4
"Bengaluru, India",2013-10-08,Gold,Fuel,M,118249,0.11758829853811961,1,10,41,2013,0,1,71,3
"Lucknow, India",2013-10-08,Silver,Fuel,F,32046,0.031132154949692698,1,10,41,2013,3,0,300,3
"Jagdalpur, India",2013-10-08,Signature,Food,F,261114,0.26087283566282077,1,10,41,2013,2,0,199,2
"Nehtaur, India",2013-10-09,Signature,Grocery,F,182728,0.1822566474637739,2,10,41,2013,2,0,465,4
"Kolkata, India",2013-10-09,Gold,Entertainment,F,201943,0.2015280742012613,2,10,41,2013,0,0,267,1
"Delhi, India",2013-10-09,Gold,Food,M,285214,0.28504360768329673,2,10,41,2013,0,1,126,2
"Delhi, India",2013-10-09,Gold,Food,F,295917,0.29577803809554376,2,10,41,2013,0,0,126,2
"Pratapgarh, India",2013-10-09,Gold,Entertainment,F,83858,0.08309630598392093,2,10,41,2013,0,0,577,1
"Risod, India",2013-10-09,Signature,Food,F,257838,0.2575872153665934,2,10,41,2013,2,0,657,2
"Ahmedabad, India",2013-10-09,Silver,Grocery,M,64793,0.06397531973618756,2,10,41,2013,3,1,8,4
"Greater Mumbai, India",2013-10-09,Silver,Entertainment,M,264150,0.2639177511754417,2,10,41,2013,3,1,170,1
